"model","exp_id","compute_tier","theta_id","facet_lab","n","gamma","gamma_lab","net_size","mu_star","sigma_star","mu_hat","sigma_hat","a_dstat","e_orbit","decode_time"
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0052301522007413,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0137436067197835,0.1,0.0499999999992724
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0051127722613139,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00551724305576307,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00733064477666368,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00948241781862103,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0073595817457538,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00843638592009233,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00615156135389561,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00704574931529134,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00534615741593469,0.1,0.0100000000020373
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0141645750269868,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00497680193710015,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00667934620431399,0.1,0.00999999999839929
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00572381051904713,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00654210799921517,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00534754068257026,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00680175948975437,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00629649743597582,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.01314991653423,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00788043981408582,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0041619357731163,0.1,1e-06
