theta_id,facet_lab,mu_star,sigma_star,n,eps,p_success
10,"mu=3.00, sigma=1.25",3,1.25,50,0.05,0.02
10,"mu=3.00, sigma=1.25",3,1.25,50,0.1,0.144
10,"mu=3.00, sigma=1.25",3,1.25,50,0.2,0.484
10,"mu=3.00, sigma=1.25",3,1.25,100,0.05,0.068
10,"mu=3.00, sigma=1.25",3,1.25,100,0.1,0.296
10,"mu=3.00, sigma=1.25",3,1.25,100,0.2,0.788
10,"mu=3.00, sigma=1.25",3,1.25,200,0.05,0.178
10,"mu=3.00, sigma=1.25",3,1.25,200,0.1,0.514
10,"mu=3.00, sigma=1.25",3,1.25,200,0.2,0.936
10,"mu=3.00, sigma=1.25",3,1.25,400,0.05,0.328
10,"mu=3.00, sigma=1.25",3,1.25,400,0.1,0.766
10,"mu=3.00, sigma=1.25",3,1.25,400,0.2,0.996
10,"mu=3.00, sigma=1.25",3,1.25,800,0.05,0.512
10,"mu=3.00, sigma=1.25",3,1.25,800,0.1,0.93
10,"mu=3.00, sigma=1.25",3,1.25,800,0.2,1
10,"mu=3.00, sigma=1.25",3,1.25,1600,0.05,0.778
10,"mu=3.00, sigma=1.25",3,1.25,1600,0.1,0.996
10,"mu=3.00, sigma=1.25",3,1.25,1600,0.2,1
11,"mu=0.30, sigma=2.00",0.3,2,25,0.05,0
11,"mu=0.30, sigma=2.00",0.3,2,25,0.1,0
11,"mu=0.30, sigma=2.00",0.3,2,25,0.2,0
11,"mu=0.30, sigma=2.00",0.3,2,50,0.05,0
11,"mu=0.30, sigma=2.00",0.3,2,50,0.1,0
11,"mu=0.30, sigma=2.00",0.3,2,50,0.2,0.004
11,"mu=0.30, sigma=2.00",0.3,2,100,0.05,0
11,"mu=0.30, sigma=2.00",0.3,2,100,0.1,0
11,"mu=0.30, sigma=2.00",0.3,2,100,0.2,0.008
11,"mu=0.30, sigma=2.00",0.3,2,200,0.05,0
11,"mu=0.30, sigma=2.00",0.3,2,200,0.1,0
11,"mu=0.30, sigma=2.00",0.3,2,200,0.2,0.008
11,"mu=0.30, sigma=2.00",0.3,2,400,0.05,0
11,"mu=0.30, sigma=2.00",0.3,2,400,0.1,0.002
11,"mu=0.30, sigma=2.00",0.3,2,400,0.2,0.014
11,"mu=0.30, sigma=2.00",0.3,2,800,0.05,0.002
11,"mu=0.30, sigma=2.00",0.3,2,800,0.1,0.004
11,"mu=0.30, sigma=2.00",0.3,2,800,0.2,0.026
11,"mu=0.30, sigma=2.00",0.3,2,1600,0.05,0
11,"mu=0.30, sigma=2.00",0.3,2,1600,0.1,0.006
11,"mu=0.30, sigma=2.00",0.3,2,1600,0.2,0.018
12,"mu=0.75, sigma=2.00",0.75,2,25,0.05,0.002
12,"mu=0.75, sigma=2.00",0.75,2,25,0.1,0.002
12,"mu=0.75, sigma=2.00",0.75,2,25,0.2,0.008
12,"mu=0.75, sigma=2.00",0.75,2,50,0.05,0.004
12,"mu=0.75, sigma=2.00",0.75,2,50,0.1,0.008
12,"mu=0.75, sigma=2.00",0.75,2,50,0.2,0.024
12,"mu=0.75, sigma=2.00",0.75,2,100,0.05,0
12,"mu=0.75, sigma=2.00",0.75,2,100,0.1,0.004
12,"mu=0.75, sigma=2.00",0.75,2,100,0.2,0.034
12,"mu=0.75, sigma=2.00",0.75,2,200,0.05,0.01
12,"mu=0.75, sigma=2.00",0.75,2,200,0.1,0.026
12,"mu=0.75, sigma=2.00",0.75,2,200,0.2,0.072
12,"mu=0.75, sigma=2.00",0.75,2,400,0.05,0.008
12,"mu=0.75, sigma=2.00",0.75,2,400,0.1,0.042
12,"mu=0.75, sigma=2.00",0.75,2,400,0.2,0.1
12,"mu=0.75, sigma=2.00",0.75,2,800,0.05,0.016
12,"mu=0.75, sigma=2.00",0.75,2,800,0.1,0.05
12,"mu=0.75, sigma=2.00",0.75,2,800,0.2,0.134
12,"mu=0.75, sigma=2.00",0.75,2,1600,0.05,0.04
12,"mu=0.75, sigma=2.00",0.75,2,1600,0.1,0.114
12,"mu=0.75, sigma=2.00",0.75,2,1600,0.2,0.22
13,"mu=1.50, sigma=2.00",1.5,2,25,0.05,0
13,"mu=1.50, sigma=2.00",1.5,2,25,0.1,0.016
13,"mu=1.50, sigma=2.00",1.5,2,25,0.2,0.044
13,"mu=1.50, sigma=2.00",1.5,2,50,0.05,0.006
13,"mu=1.50, sigma=2.00",1.5,2,50,0.1,0.028
13,"mu=1.50, sigma=2.00",1.5,2,50,0.2,0.096
13,"mu=1.50, sigma=2.00",1.5,2,100,0.05,0.012
13,"mu=1.50, sigma=2.00",1.5,2,100,0.1,0.052
13,"mu=1.50, sigma=2.00",1.5,2,100,0.2,0.174
13,"mu=1.50, sigma=2.00",1.5,2,200,0.05,0.022
13,"mu=1.50, sigma=2.00",1.5,2,200,0.1,0.084
13,"mu=1.50, sigma=2.00",1.5,2,200,0.2,0.294
13,"mu=1.50, sigma=2.00",1.5,2,400,0.05,0.03
13,"mu=1.50, sigma=2.00",1.5,2,400,0.1,0.148
13,"mu=1.50, sigma=2.00",1.5,2,400,0.2,0.412
13,"mu=1.50, sigma=2.00",1.5,2,800,0.05,0.092
13,"mu=1.50, sigma=2.00",1.5,2,800,0.1,0.258
13,"mu=1.50, sigma=2.00",1.5,2,800,0.2,0.59
13,"mu=1.50, sigma=2.00",1.5,2,1600,0.05,0.132
13,"mu=1.50, sigma=2.00",1.5,2,1600,0.1,0.416
13,"mu=1.50, sigma=2.00",1.5,2,1600,0.2,0.766
14,"mu=2.25, sigma=2.00",2.25,2,25,0.05,0.004
14,"mu=2.25, sigma=2.00",2.25,2,25,0.1,0.022
14,"mu=2.25, sigma=2.00",2.25,2,25,0.2,0.076
14,"mu=2.25, sigma=2.00",2.25,2,50,0.05,0.012
14,"mu=2.25, sigma=2.00",2.25,2,50,0.1,0.03
14,"mu=2.25, sigma=2.00",2.25,2,50,0.2,0.132
14,"mu=2.25, sigma=2.00",2.25,2,100,0.05,0.016
14,"mu=2.25, sigma=2.00",2.25,2,100,0.1,0.07
14,"mu=2.25, sigma=2.00",2.25,2,100,0.2,0.244
14,"mu=2.25, sigma=2.00",2.25,2,200,0.05,0.042
14,"mu=2.25, sigma=2.00",2.25,2,200,0.1,0.15
14,"mu=2.25, sigma=2.00",2.25,2,200,0.2,0.456
14,"mu=2.25, sigma=2.00",2.25,2,400,0.05,0.088
14,"mu=2.25, sigma=2.00",2.25,2,400,0.1,0.324
14,"mu=2.25, sigma=2.00",2.25,2,400,0.2,0.694
14,"mu=2.25, sigma=2.00",2.25,2,800,0.05,0.152
14,"mu=2.25, sigma=2.00",2.25,2,800,0.1,0.456
14,"mu=2.25, sigma=2.00",2.25,2,800,0.2,0.858
14,"mu=2.25, sigma=2.00",2.25,2,1600,0.05,0.272
14,"mu=2.25, sigma=2.00",2.25,2,1600,0.1,0.672
14,"mu=2.25, sigma=2.00",2.25,2,1600,0.2,0.97
