"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","eps","gamma","net_size","tau","tie_rule","p_success","p_se","time_eval_med","time_eval_mean"
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,400,0.1,0.05,1891,1e-04,"uniform",0.0866666666666667,0.022971802360801,0.139999999999418,0.136866666666695
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,400,0.1,0.05,1891,5e-04,"uniform",0.226666666666667,0.0341846835964967,0.139999999999418,0.136866666666695
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,400,0.1,0.05,1891,0.001,"uniform",0.28,0.0366606055596467,0.139999999999418,0.136866666666695
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,400,0.1,0.05,1891,0.002,"uniform",0.46,0.0406939798987516,0.139999999999418,0.136866666666695
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,400,0.1,0.05,1891,0.005,"uniform",0.973333333333333,0.01315435429951,0.139999999999418,0.136866666666695
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,400,0.1,0.05,1891,0.01,"uniform",0.953333333333333,0.0172218637955534,0.139999999999418,0.136866666666695
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,400,0.1,0.05,1891,0.02,"uniform",0.8,0.032659863237109,0.139999999999418,0.136866666666695
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,400,0.1,0.05,1891,0.05,"uniform",0.48,0.0407921561087423,0.139999999999418,0.136866666666695
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,800,0.1,0.05,1891,0,"uniform",0.06,0.0193907194296653,0.229999999999563,0.23733333333336
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,800,0.1,0.05,1891,1e-04,"uniform",0.126666666666667,0.027156610272298,0.229999999999563,0.23733333333336
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,800,0.1,0.05,1891,5e-04,"uniform",0.193333333333333,0.0322444367868894,0.229999999999563,0.23733333333336
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,800,0.1,0.05,1891,0.001,"uniform",0.28,0.0366606055596467,0.229999999999563,0.23733333333336
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,800,0.1,0.05,1891,0.002,"uniform",0.373333333333333,0.0394930842515966,0.229999999999563,0.23733333333336
"folded_normal","L-FN3",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,800,0.1,0.05,1891,0.005,"uniform",1,0,0.229999999999563,0.23733333333336
