"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","gamma","gamma_lab","net_size","n_times_net","time_med","time_mean","time_q90","throughput_med"
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,100,0.1,"gamma=0.1",496,49600,0,0.00719999999999951,0.0200000000004366,Inf
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0109333333333416,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0179999999999927,0.0300000000006548,9919999.99978347
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0324000000000039,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0212666666666579,0.039999999999236,4727499.99989681
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0274000000000039,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0431999999999971,0.0599999999994907,9454999.99979362
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0689333333333343,0.0799999999999272,10805714.2857592
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.12473333333334,0.139999999999418,12606666.6665826
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,50,0.1,"gamma=0.1",496,24800,0,0.00513333333332412,0.0200000000004366,Inf
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,100,0.1,"gamma=0.1",496,49600,0,0.00733333333332363,0.0200000000004366,Inf
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0108666666666613,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0186666666666618,0.0300000000006548,9919999.99978347
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0346666666666836,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0231999999999971,0.0399999999990541,4727499.99989681
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0288666666666662,0.041000000000713,6303333.33357793
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0432666666666773,0.0599999999994907,9454999.99979362
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0733999999999893,0.0900000000001455,10805714.2857592
