"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","eps","gamma","gamma_lab","net_size","p_success"
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,800,0.1,0.05,"gamma=0.05",1891,0.913333333333333
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,50,0.1,0.1,"gamma=0.1",496,0.04
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,100,0.1,0.1,"gamma=0.1",496,0.0933333333333333
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,200,0.1,0.1,"gamma=0.1",496,0.06
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,400,0.1,0.1,"gamma=0.1",496,0.08
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,800,0.1,0.1,"gamma=0.1",496,0.12
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,50,0.1,0.05,"gamma=0.05",1891,0.04
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,100,0.1,0.05,"gamma=0.05",1891,0.1
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,200,0.1,0.05,"gamma=0.05",1891,0.1
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,400,0.1,0.05,"gamma=0.05",1891,0.12
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,800,0.1,0.05,"gamma=0.05",1891,0.213333333333333
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,50,0.1,0.1,"gamma=0.1",496,0.0533333333333333
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,100,0.1,0.1,"gamma=0.1",496,0.0733333333333333
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,200,0.1,0.1,"gamma=0.1",496,0.193333333333333
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,400,0.1,0.1,"gamma=0.1",496,0.206666666666667
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,800,0.1,0.1,"gamma=0.1",496,0.273333333333333
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,50,0.1,0.05,"gamma=0.05",1891,0.06
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,100,0.1,0.05,"gamma=0.05",1891,0.0533333333333333
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,200,0.1,0.05,"gamma=0.05",1891,0.0733333333333333
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,400,0.1,0.05,"gamma=0.05",1891,0.173333333333333
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,800,0.1,0.05,"gamma=0.05",1891,0.2
