"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","gamma","gamma_lab","net_size","q10","q25","q50","q75","q90"
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,50,0.1,"gamma=0.1",496,0.111803398874989,0.180277563773199,0.259629120178363,0.35,0.564961879321717
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,100,0.1,"gamma=0.1",496,0.05,0.111803398874989,0.180277563773199,0.25,0.335410196624968
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,200,0.1,"gamma=0.1",496,0.0499999999999998,0.05,0.111803398874989,0.180277563773199,0.210539753152795
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,400,0.1,"gamma=0.1",496,0.0499999999999998,0.05,0.05,0.111803398874989,0.180277563773199
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,800,0.1,"gamma=0.1",496,0.0499999999999998,0.0499999999999998,0.05,0.111803398874989,0.111803398874989
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,50,0.05,"gamma=0.05",1891,0.1,0.141421356237309,0.206155281280883,0.331596700436637,0.448589958236427
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,100,0.05,"gamma=0.05",1891,0.0707106781186545,0.111803398874989,0.2,0.254950975679639,0.364005494464026
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,200,0.05,"gamma=0.05",1891,0.0499999999999998,0.0707106781186547,0.11180339887499,0.180277563773199,0.206155281280883
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,400,0.05,"gamma=0.05",1891,0.0499999999999998,0.05,0.0707106781186548,0.11180339887499,0.180277563773199
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,800,0.05,"gamma=0.05",1891,0,0.0499999999999998,0.05,0.0707106781186547,0.11180339887499
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,50,0.1,"gamma=0.1",496,0.0707106781186548,0.158113883008419,0.158113883008419,0.254950975679639,0.353553390593274
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,100,0.1,"gamma=0.1",496,0.0707106781186545,0.0707106781186548,0.158113883008419,0.158113883008419,0.254950975679639
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,200,0.1,"gamma=0.1",496,0.0707106781186545,0.0707106781186547,0.070710678118655,0.158113883008419,0.158113883008419
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,400,0.1,"gamma=0.1",496,0.0707106781186545,0.0707106781186547,0.0707106781186548,0.070710678118655,0.158113883008419
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,800,0.1,"gamma=0.1",496,0.0707106781186545,0.0707106781186547,0.0707106781186547,0.0707106781186548,0.070710678118655
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,50,0.05,"gamma=0.05",1891,0.1,0.14142135623731,0.206155281280883,0.282842712474619,0.354598600980349
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,100,0.05,"gamma=0.05",1891,0.0500000000000002,0.1,0.15,0.206155281280883,0.256381702147348
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,200,0.05,"gamma=0.05",1891,0.0499999999999998,0.0707106781186545,0.1,0.14142135623731,0.180277563773199
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,400,0.05,"gamma=0.05",1891,0,0.0499999999999998,0.0707106781186546,0.1,0.11180339887499
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,800,0.05,"gamma=0.05",1891,0,0.0125,0.0499999999999998,0.0707106781186547,0.1
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,50,0.1,"gamma=0.1",496,0.0499999999999998,0.05,0.15,0.206155281280883,0.251925824035672
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,100,0.1,"gamma=0.1",496,0.0499999999999998,0.0499999999999998,0.05,0.15,0.206155281280883
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,200,0.1,"gamma=0.1",496,0.0499999999999998,0.0499999999999998,0.05,0.111803398874989,0.15
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,400,0.1,"gamma=0.1",496,0.0499999999999998,0.0499999999999998,0.05,0.0963525491562418,0.111803398874989
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,800,0.1,"gamma=0.1",496,0.0499999999999998,0.0499999999999998,0.05,0.05,0.111803398874989
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,50,0.05,"gamma=0.05",1891,0.0499999999999998,0.05,0.15,0.206155281280883,0.300413812651491
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,100,0.05,"gamma=0.05",1891,0,0.0499999999999998,0.1,0.15,0.206752956588391
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,200,0.05,"gamma=0.05",1891,0,0.0499999999999998,0.05,0.111803398874989,0.158113883008419
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,400,0.05,"gamma=0.05",1891,0,0.0499999999999998,0.0499999999999998,0.0707106781186546,0.111803398874989
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,800,0.05,"gamma=0.05",1891,0,0,0.0499999999999998,0.05,0.0999999999999996
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,50,0.1,"gamma=0.1",496,0.221246117974981,0.421036320796314,0.913746479771515,1.21756782051989,1.47749476289419
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,100,0.1,"gamma=0.1",496,0.1,0.304056941504209,0.7,1.0770329614269,1.26491106406735
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,200,0.1,"gamma=0.1",496,0.141421356237309,0.287132034355964,0.569258240356725,0.996221445044903,1.12284962777181
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,400,0.1,"gamma=0.1",496,0.1,0.223606797749979,0.456155281280883,0.894427190999916,1.03431000883152
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,800,0.1,"gamma=0.1",496,0.1,0.2,0.3,0.632455532033676,0.854400374531753
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,50,0.05,"gamma=0.05",1891,0.15,0.4,0.868173142455126,1.2469854600785,1.46179741697791
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,100,0.05,"gamma=0.05",1891,0.1,0.25123774391991,0.701763097522877,1.13546191297597,1.30384048104053
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,200,0.05,"gamma=0.05",1891,0.1,0.25,0.549924842847273,0.919238815542512,1.14442640278776
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,400,0.05,"gamma=0.05",1891,0.0999999999999999,0.2,0.462170824512628,0.807774721070176,0.987163025775077
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,800,0.05,"gamma=0.05",1891,0.05,0.15,0.419755374913821,0.735683611990765,0.919238815542512
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,50,0.1,"gamma=0.1",496,0.15,0.364005494464026,0.65,0.884590300647707,1.04374389486874
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,100,0.1,"gamma=0.1",496,0.15,0.25,0.460977222864644,0.763216876123687,0.963037186670015
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,200,0.1,"gamma=0.1",496,0.05,0.15,0.35,0.578680495245723,0.763216876123687
